chip,status,lastupdate,machine_lat,machine_lon,store_lat,store_lon,distance,istoofar,isold,sourcedfrom,errmsg
0000355,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000165,valid,2025-04-15,45.4463,-122.5708,45.4436937,-122.5774862,0.32,no,no,unwiredlabs,none
0000378,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000340,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000101,get_error,unknown,0,0,39.977404,-111.7759179,0.00,unknown,unknown,database,no cell identity from particle diagnostics
0000290,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000384,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000295,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000028,valid,2025-04-15,32.991,-96.8348,35.5469066,-105.9056213,474.95,yes,no,opencellid,none
0000266,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000360,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000362,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000188,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000286,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000282,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000031,valid,2025-04-13,36.3001,-119.3416,36.2962781,-119.3339658,0.43,no,no,unwiredlabs,none
0000052,valid,2025-04-14,43.2433,-123.368,39.977404,-111.7759179,555.11,yes,no,unwiredlabs,none
0000213,unlinked,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000033,valid,2025-04-15,47.7387,-117.4033,47.7413104,-117.3994738,0.22,no,no,opencellid,none
0000122,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000078,valid,2025-04-01,25.9693,-80.3148,25.9767105,-80.3099072,0.52,no,yes,opencellid,none
0000075,valid,2025-04-01,27.1685,-80.2357,27.1658235,-80.2297787,0.35,no,yes,unwiredlabs,none
0000021,valid,2025-04-15,38.2537,-77.4265,35.5469066,-105.9056213,1370.57,yes,no,unwiredlabs,none
0000050,valid,2025-04-14,47.2602,-122.5256,47.2564283,-122.5202424,0.31,no,no,opencellid,none
0000177,unlinked,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000205,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000212,unlinked,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000196,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000312,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000034,get_error,unknown,0,0,35.5469066,-105.9056213,0.00,unknown,unknown,database,no cell identity from particle diagnostics
0000083,valid,2025-04-14,36.2976,-119.3223,39.977404,-111.7759179,418.77,yes,no,unwiredlabs,none
0000035,unlinked,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000223,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000380,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000301,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0000014,valid,2025-04-14,44.0901,-121.3012,44.0855576,-121.304632,0.31,no,no,opencellid,none
0000230,inactive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
