id,chip,count
0HDsJQ03VeAUrLNPlEGd,0000165,0
0iv1JwJZvv62ztwYAyof,0000101,0
0pQbw51OaI4E0yjcAVoK,0000028,0
1ChdJgl0UxNzisw3kEdQ,0000266,0
1PaqTPloMZxK8acvacle,0000188,0
1XSs9gczdGTHIqwutjMK,0000031,5
1ZtVznM1ynN0DEHKwDRS,0000052,0
1i2itkXh3nDaxENg0fOK,0000213,3
1tkaqcywBhtBZLNE6i8N,0000033,0
1zgylebLoHJ0qG3xAbgj,0000122,0
240gTJmYAA3QGhhne85B,0000078,0
2DT4NqRbxsVCujc4bW0A,0000075,0
2UyQcnz4uhewwANcLwbz,0000021,0
2Z8l7s7TdyJiLWYV1npG,0000050,0
2vUoyUeL2v1L6FMuEOW5,0000177,0
38yxhLtdjLE7GbJw0kGJ,0000205,0
3K0hf99D3aOjBhR4QU1r,0000212,2
3LEZxiIXM9qdYU2c9Tq6,0000196,0
3VSCPzTeAY1slzIpTAyN,0000034,0
3tIUh5eciiZkZvEG5GxL,0000083,1
4ClMCCoMzqDZA3anNNgG,0000035,0
4E9dxnTlbBow6L2HOE99,0000223,0
4OcbapQoXCbiBjfoBtQM,0000014,0
4PlYFMvM8wVar8snIrLD,0000230,0
4pPDtOGpAVxPZ3V0hOkV,0000232,0
4sHWWsSKLVNpyLoFmwXF,0000041,0
5JjDiChqSUsENTAW6yES,0000042,0
5TFgCBsuHh5hKXwVquE2,0000104,0
5wnGLcoZzybvwm3ImndJ,0000082,0
6K2I9M386BLeyR4XoGGV,0000128,0
6mh6X2cGXYCiwEicdloF,0000269,0
6u8ctW875TYcafVHXFqr,0000046,0
7HWoclbjWLVRovxUcz83,0000229,6
8G1I3IezLPBBXbRjNYwb,0000043,0
8bR6UumEmOG15VSFFBlv,0000162,0
9ZnMHADrl82gTjWtUvrz,0000044,0
ANTvziRY40NO7fiMhjPt,0000169,0
AhTCBnAmfy4UD1oNFix3,0000038,3
AiBsHuKu0W44wawGJcnG,0000204,0
AnyJKFyPlCYS5Z6mOcGT,0000055,0
AybEkIbcLoCr2SgnTa51,0000243,1
BLcw06jjkOMFYRZUEGV9,0000159,0
BaUmx6v2gtO8aj5TI8kC,0000246,2
BeDr5QA9WKRFDowjZbmb,0000030,0
BjfNrEOtARw2gIb6UbY0,0000116,0
Bk3tOOfuOh0KtlIvgHWx,0000097,0
BtYbEUOTMoXpj7cyphd0,0000040,0
C81CHPj1hIUnivSAi1UN,0000067,0
CNE51g3CDDILvQOCwFDZ,0000240,0
COpMLga290bSz8YTk5Lx,0000270,0
CoTqUxfGU0gddStiSswU,0000061,0
Crli8xn5YjtmMnH0SeVZ,0000064,0
CwExesnDroGb1rEgy87J,0000002,0
CyykmqcVKSezvDAXbL4O,0000218,4
DAr8gaPdoPADPKi4S4Te,0000080,0
DCVdtTZLcor7qbly6Rhd,0000256,2
DzwS7brNpsgbxpEudgq0,0000247,0
E28G03RdwJXnCXa3zblg,0000011,0
E6XpVfbt8nNPSYdgxjiZ,0000045,0
EKwozQPAM5Iaakbuah8g,0000268,0
EVdwrufM47VXhwyxckeg,0000020,0
Ef9PPQbYtYncpPQOz5vR,0000096,0
EgsJCId3IbiHt0QYQpiC,0000113,0
EvCQlofTke4bVskL9yer,0000227,4
F6EQRxzkshnJoj8kUC8d,0000237,0
F7luqhFz6eK6ANImcIfB,0000220,0
FX3XVkSlYpuarpEmHgw6,0000222,0
FkRY148tMsZDmRBGN7QT,0000208,0
FpVmy9FPN7daszJSr75B,0000129,0
G4BuhGEE12XUfFBKII0A,0000193,0
G4mlDcgAyT3WMC7zTuyN,0000123,0
GsGMuXUdvTQyHVgsFl4n,0000016,0
HWpdf5hUvR6QPgkyg39O,0000260,0
Hkr7hiUDZtuKB1FXyg6W,0000166,0
HowlzQyCDZPBOYpGcNk3,0000211,20
Hput6dpVIymunVKlxTcc,0000098,0
I63A3Iqnxb0z37GCf8wV,0000198,0
IE2Jcd82yT8fP9yu0mtQ,0000221,0
IG5sHvmq5rtFXnLdnmQ7,0000239,0
INIpV1jlnHIOXv2pdC60,0000186,0
Ix6YPLjBwiYPn1jApVug,0000093,0
Iy4TKK8MV7F68QPOjDVW,0000187,0
J0AOQDhNjhk95tp0MxK3,0000173,0
J0l7cd3OKK03XdKUMx3m,0000029,0
JACQbIiBsiZ1TQDhOVFD,0000209,16
JBl3ReH3tRmBva7pREZk,0000081,0
JHCuQoLX1kXcTu5GYuxw,0000201,0
JLQYNvVx6crzBq6lQzkK,0000157,0
JX5FZVqJ6mfgIWgCMYZ5,0000273,0
K9OUNJQk1ry1hxtBOd94,0000154,0
KXZ0tLt69PEAFLVr6FSL,0000132,0
KkIi5aOLz05nHcYaPAxw,0000133,0
Kl8gQUhFH2JdmjQf91b7,0000189,0
KwBqgkoA07AK0HhrxboG,0000275,0
KzQ0vcRjv5xeykhGJreJ,0000125,0
L82x1yrHXH4ZXrRM1B89,0000199,0
LBXhaEoMpKk5A1oaqcXX,0000079,0
LOWw6v1sMiWhjMzl3UW3,0000127,0
Lvg1tsTcGC6xSqnGjU9r,0000094,0
MOMenQIfTSr5ddJDcjbX,0000018,0
N6pZmaUdTT8DlKqyhQ6B,0000111,0
NKIZfJVCNKVpMwYMSqJ2,0000251,0
NhDu4jmNyRBHN0AXs4WX,0000057,0
NnjohkfnEQd4jfS0AcKP,0000130,0
Nyb5qBMg6SYp7Jbb2n4f,0000007,0
OMb7tuwwkKyKUtoFe7kP,0000274,0
Ob937FPN1RqXQHqmT35L,0000008,0
OsLYSgCvjezjWTRuB3gZ,0000200,0
P45ND3hRhmJbYA8dQwpN,0000242,0
P4EKV4P1V96AVrGmfAwl,0000131,0
PJ3DX6Kg9JKkLuEePjnS,0000032,0
PMUF0xaM9XLGaE9kbaWf,0000180,0
PYB38d7rcxfgqckJXBXv,0000179,0
Q3WDI9N6sRqfQqFT5iKi,0000087,0
